,PurchaseOrderNumber,PurchaseOrderType,PurchaseOrderDate,InvoiceNumber,ReceiptInvoiceDate,InvoiceGRNFGap,PAmountGRNFPrint,PAmountGRVPrint
63,007777,FCA,"Dec 7th, 2023",PXP/23-24/9200003828,"Feb 7th, 2024",0,99.9 %,99.9 %
64,007488,FCA,"Jun 22nd, 2023",13-03817718,"Jan 22nd, 2024",0,0 %,0 %
65,007210,FOB,"Nov 30th, 2022",00007620,"Jul 26th, 2023",0,99.6 %,99.6 %
66,006644,Cost and Freight,"Nov 28th, 2021",P10/ 30003983,"Nov 16th, 2023",0,0 %,0 %
67,007413,FOB,"Apr 24th, 2023",EXP/23-24/238/EXP/23-24/237,"Jan 18th, 2024",0,99.9 %,99.9 %
68,006794,FOB,"Mar 10th, 2022",E/2023-2024/011,"Aug 31st, 2023",0,99.9 %,99.9 %
69,007771,FCA,"Nov 27th, 2023",SGF2425/EPSS/REL0006,"Jun 17th, 2024",0,0 %,0 %
70,007613,FCA,"Jul 6th, 2023",SCI/194/23-24,"Jan 15th, 2024",0,99.9 %,99.9 %
71,007451,FOB,"May 15th, 2023",3410/F1,"Feb 22nd, 2024",0,99.9 %,99.9 %
72,007408,FOB,"Apr 18th, 2023",E/2023-2024/038,"Jan 10th, 2024",0,0 %,0 %
73,007408,FOB,"Apr 18th, 2023",E/2023-2024/041,"Mar 19th, 2024",0,99.9 %,99.9 %
74,007742,FOB,"Oct 31st, 2023",GP240301,"Mar 15th, 2024",0,0 %,0 %
75,007742,FOB,"Oct 31st, 2023",02/EPSS/DKT/2024,"Apr 1st, 2024",0,0 %,0 %
76,007741,FOB,"Oct 31st, 2023",GP231230,"Mar 28th, 2024",0,99.9 %,99.9 %
