label,PO No,PO Type,Invoice No,Tender No,1,2,3,4,5,6,7,8,Days Consumed,Days Remaining,Days Saved
,007677,FOB,SI3624200623,ICB/FW/EPSA6/GF-MOH/NFMIII/ARV/PH/01/23,-27,-113,11,,,,,,1813,-1731,-1731
,007677,FOB,SI9224200498,ICB/FW/EPSA6/GF-MOH/NFMIII/ARV/PH/01/23,-27,-113,11,,,,,,1813,-1731,-1731
,007679,FCA,N2667,ICB/FW/EPSA6/GF-MOH/NFMIII/ARV/PH/01/23,-30,-119,6,,,,,,1898,-1816,-1816
,007680,FOB,N3650,ICB/FW/EPSA6/GF-MOH/NFMIII/ARV/PH/01/23,-30,-100,9,,,,,,1873,-1791,-1791
,007628,FOB,0924,ICB/EPSA6/RDF-R& SDG 2015/MS/LS/14/22,-30,-1017,,,,,,,2597,-2515,-2530
,007623,FCA,7000813758,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-34,-73,-1,,,,,,1951,-1869,-1869
,007624,FOB,N2683,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-19,-122,1,,,,,,1925,-1843,-1843
,007624,FOB,N3903,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-19,-122,1,,,,,,1852,-1770,-1770
,007629,FOB,SUCT235054,ICB/EPSA6/RDF-R& SDG 2015/MS/LS/14/22,-30,-98,-4,,,,,,1888,-1806,-1806
,007593,FCA,SO0069211,Call off ICB/PFSA6/RDF/FW/PLACEMENT/LR/20/18,-8,-114,-119,,,,,,1048,-966,-967
,007691,FCA,8000216086,EPSA6/RT2/FW/MOH-GF-TB-Kit/PH/01/21,-11,-118,-31,,,,,,1046,-964,-970
,007666,FCA,SI3623228151,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-10,-117,10,,,,,,1869,-1787,-1787
,007672,FCA,MH2712306334,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-16,-92,10,,,,,,1900,-1818,-1818
,007709,FOB,395/2023-24,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-15,-1018,,,,,,,2844,-2762,-2777
,007709,FOB,399/2023-24,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-15,-1018,,,,,,,2844,-2762,-2777
,007709,FOB,435/2023-24,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-15,-1018,,,,,,,2824,-2742,-2757
,007692,FCA,MP2322400074,ICB/FW/EPSA6/GF-MOH/NFMIII/ARV/PH/01/23,-7,-154,6,,,,,,1810,-1728,-1728
,Non standard 7344,FOB,PI23-01919,Non standard 7344,-1002,,,,,,,,1003,-921,-1002
,non standard 13-03768447-2,FOB,13-03768447-2,non standard 13-03768447-2,-990,,,,,,,,991,-909,-990
,007737,FCA,97117093,Call off:PSA6/DT/FW/GF/PIMA CD4/Analyze/LR/01/20,-115,54,-75,,,,,,1756,-1674,-1674
,Non standard  45197903,FOB,INV-00003453,Non standard  45197903,-970,,,,,,,,971,-889,-970
,007738,FCA,EXP/23-24/9300011083,ICB/FW/EPSS6/MOH-GF/Malaria/PH/14/23 ,-28,-19,8,,,,,,1846,-1764,-1764
,007738,FCA,EXP/23-24/9300011190,ICB/FW/EPSS6/MOH-GF/Malaria/PH/14/23 ,-28,-19,8,,,,,,1857,-1775,-1775
,Replacement-007309,FOB,5282745,Replacement-007309,-942,,,,,,,,2837,-2755,-2830
,Replacement-007113,FOB,5282746,Replacement-007113,-942,,,,,,,,2712,-2630,-2705
,Non Standard -23240155,FOB,23240155,Non Standard -23240155,-941,,,,,,,,942,-860,-941
,007750,FCA,IP2300696,Call off:EPSA6/RT2/FW/GF-HAPCO/HIV-RTK/LR/01/22,-40,-83,-6,,,,,,1706,-1624,-1624
,007751,FCA,SCI/032/24-25,Call off:EPSA6/RT2/FW/GF-HAPCO/HIV-RTK/LR/01/22,-84,-17,-3,,,,,,1685,-1603,-1603
,007752,FCA,168329,Call off:EPSA6/RT2/FW/GF-HAPCO/HIV-RTK/LR/01/22,-40,-83,-7,,,,,,1649,-1567,-1567
,007766,FCA,MH2722401260,ICB/FW/EPSS6/MOH-GF-NFMIII/ARV/PH/20/23,-20,-44,6,,,,,,935,-853,-859
,007767,FCA,2403100489,ICB/FW/EPSS6/MOH-GF-NFMIII/ARV/PH/20/23,-20,-72,2,,,,,,1732,-1650,-1650
,007768,FCA,2403100443,ICB/FW/EPSS6/MOH-GF-NFMIII/ARV/PH/20/23,-20,-53,0,,,,,,936,-854,-860
,007753,FCA,N3741,ICB/FW/EPSS6/MOH-GF-NFMIII/ARV/PH/20/23,-56,21,-18,,,,,,1761,-1679,-1679
,007754,FOB,HW40101B,Refill from ICB/EPSA6/RDF-R/2014 & 2013 Retendered,-15,-28,13,,,,,,941,-859,-864
,007762,FCA,WT-UAE-0012/2024,ICB/EPSS6/GF-CHEM/MS/LS/09/23,-76,-13,-3,,,,,,1699,-1617,-1617
,007771,FCA,SGF2425/EPSS/REL0003,ICB/EPSA6/MOH-SDG-MOFED/FH/PH/15/22,-10,-84,-6,,,,,,1690,-1608,-1613
,007771,FCA,SGF2425/EPSS/REL0004 ,ICB/EPSA6/MOH-SDG-MOFED/FH/PH/15/22,-10,-84,-6,,,,,,1670,-1588,-1588
,007771,FCA,SGF2425/EPSS/REL0005,ICB/EPSA6/MOH-SDG-MOFED/FH/PH/15/22,-10,-84,-6,,,,,,1670,-1588,-1588
,Invoice-135038939,FCA,135038939,Invoice-135038939,-926,,,,,,,,1860,-1778,-1854
,007775,FCA,E007/24-25,ICB/EPSA6/RDF-R/PH/13/22 (refill from Po No 7392),-46,-45,-8,,,,,,1701,-1619,-1619
,007777,FCA,PXP/23-24/9200003828,ICB/FW/EPSS6/MOH-GF/Malaria/PH/14/23 ,-7,-13,13,,,,,,1777,-1695,-1695
,007778,FCA,MH2722401261,ICB/FW/EPSS6/MOH-GF-NFMIII/ARV/PH/20/23,-36,-873,,,,,,,1770,-1688,-1709
,007779,FCA,MP2322400001,ICB/FW/EPSA6/GF-MOH/NFMIII/ARV/PH/01/23 ,-36,-8,5,,,,,,915,-833,-834
,007780,FCA,MH2722400009,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-17,-28,5,,,,,,916,-834,-835
,007781,FCA,2402100395,ICB/FW/EPSS6/MOH-GF-NFMIII/ARV/PH/20/23,-10,-46,6,,,,,,1736,-1654,-1654
,007782,FCA,N3742,ICB/FW/EPSS6/MOH-GF-NFMIII/ARV/PH/20/23,-36,13,-10,,,,,,1736,-1654,-1654
,007783,FCA,7001356565,ICB/FW/EPSA6/GF-MOH/NFMIII/ARV/PH/01/23 ,-10,-32,3,,,,,,1702,-1620,-1620
,007784,FCA,7000814211,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-17,-25,4,,,,,,1703,-1621,-1621
,007785,FCA,N3931,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-14,-10,9,,,,,,1705,-1623,-1623
,007786,FCA,ML2548/23-24,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-17,-42,9,,,,,,1748,-1666,-1666
,007787,FCA,SI3623228388,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-10,-42,2,,,,,,1742,-1660,-1660
,007790,FCA,EP230,ICB/EPSS6/GF&MOF/MS/LR/22/23,-35,-1,3,,,,,,1701,-1619,-1619
,Non Standard 23240187,FOB,23240187,Non Standard 23240187,-912,,,,,,,,913,-831,-912
,Non Standad 23240190,FOB,23240190,Non Standad 23240190,-912,,,,,,,,913,-831,-912
,Invoice-135038940,FCA,135038940,Invoice-135038940,-911,,,,,,,,912,-830,-911
,Invoice-135038949,FCA,135038949,Invoice-135038949,-911,,,,,,,,912,-830,-911
,007789,FCA,SDEPS240206-1,EPSS6/RT2/FW/GF/HIV&Syphilis/LR/03/23,-16,-10,8,,,,,,1754,-1672,-1672
,007789,FCA,SDEPS240206-2,EPSS6/RT2/FW/GF/HIV&Syphilis/LR/03/23,-16,-10,8,,,,,,1753,-1671,-1671
,007788,FCA,P24-EPSS-01-01,ICB/EPSS6/MOH/GF-NFMIII/MRDT/24/23 ,-28,-3,-6,,,,,,1741,-1659,-1659
,007788,FCA,P24-EPSS-01-02,ICB/EPSS6/MOH/GF-NFMIII/MRDT/24/23 ,-28,-3,-6,,,,,,1707,-1625,-1625
,007798,FCA,EXP/24-25/9300011754,ICB/FW/EPSS6/MOH-GF/Malaria/PH/14/23 ,-12,-73,-9,,,,,,1667,-1585,-1585
,007801,FCA,740001030,ICB/FW/EPSS6/MOH-GF/Malaria/PH/14/23 ,-28,-35,2,,,,,,1666,-1584,-1584
,007802,FCA,740000194,ICB/FW/EPSS6/MOH-GF/Malaria/PH/14/23 ,-29,-14,-2,,,,,,1664,-1582,-1582
,007804,FCA,740003133/740003144,ICB/FW/EPSS6/MOH-GF/Malaria/PH/14/23 ,-23,-35,-33,,,,,,1622,-1540,-1540
,007807,Cost and Freight,P10/30004468,Call off; ICB/PFSA6/SDG/PLACEMENT/LR/32/19,-15,-12,-3,,,,,,1640,-1558,-1558
,007808,FCA,ML0050/24-25,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22(Remai,-38,8,-27,,,,,,1672,-1590,-1590
,007821,FCA,BLL/2425/093,ICB/EPSS6/RDF-R/PH/17/23,-28,-22,-9,,,,,,1604,-1522,-1522
,007828,FCA,30099/2024-2025,ICB/EPSS6/RDF-R/PH/17/23,-35,1,-13,,,,,,1623,-1541,-1541
,007829,FCA,EFP/24-25/025,ICB/EPSS6/RDF-R/PH/17/23,-35,-26,-13,,,,,,1591,-1509,-1509
,007838,FCA,20240601,ICB/EPSS6/RDF-R/PH/17/23,-37,-25,-11,,,,,,1595,-1513,-1513
,007841,FCA,EXP/24-25/9300011924,ICB/FW/EPSS6/MOH-GF/Malaria/PH/14/23 ,-13,-68,8,,,,,,1612,-1530,-1530
,007842,FCA,740002854,ICB/FW/EPSS6/MOH-GF/Malaria/PH/14/23 ,-27,-32,-9,,,,,,1595,-1513,-1513
,Non Standard 23240188,FOB,23240188,Non Standard 23240188,-870,,,,,,,,871,-789,-870
,007819,FCA,97175045,EPSS6/DT/MOH-GF/PIMA/LR/04/23,-107,1,10,,,,,,1584,-1502,-1502
,007863,FCA,28/2024-25,ICB/EPSA6/RDF-R/PH/13/22 (refill from PO No; 7511),-39,-16,-8,,,,,,1597,-1515,-1515
,007871,FCA,EX-143,ICB/EPSA6/RDF-R/PH/13/22 (refill order from PO No;,-24,11,-38,,,,,,1572,-1490,-1490
,007873,FCA,52N2425/GEP00188,ICB/EPSA6/RDF-R/PH/13/22 (refill order from PO No;,-36,-5,-12,,,,,,1584,-1502,-1502
,007876,FCA,EX-127,ICB/Framwork/PFSA6/RDF-R/PH/01/19(Refill order fro,-35,23,-33,,,,,,860,-778,-779
,007879,FCA,9089007370,ICB/Framework/PFSA6/RDF-R/PH/01/19(Refill order fr,-857,,-7,,,,,,2497,-2415,-2420
,007883,FCA,HI/24-25/010 DT,"ICB/EPSA6/RDF-R/MS/LS/03/19 (Refill from PO,006532",-15,-5,-38,,,,,,857,-775,-776
,007888,FCA,79030264,ICB/Framework/PFSA6/RDF-R/PH/01/19(Refill order fr,-50,39,-46,,,,,,1589,-1507,-1507
,007897,FCA,MP2322400331,ICB/FW/EPSA6/GF-MOH/NFMIII/ARV/PH/01/23,-9,-1,-40,,,,,,852,-770,-771
,PSM-10024246/2,Consignment,8308089786,PSM-10024246/2,-849,,,,,,,,850,-768,-849
,Non-Standrd/Yuil-20240205,Consignment,YUIL-20240205,Non-Standrd/Yuil-20240205,-843,,,,,,,,844,-762,-843
,007919,FCA,EXP/24-25/9300011950,ICB/FW/EPSS6/MOH-GF/Malaria/PH/14/23 ,-11,-26,4,,,,,,1567,-1485,-1485
,007920,FCA,740002363,ICB/FW/EPSS6/MOH-GF/Malaria/PH/14/23 ,-11,-55,10,,,,,,1569,-1487,-1487
,007930,FCA,P24-EPSS-03,ICB/EPSS6/MOH/GF-NFMIII/MRDT/24/23 (Refill from PO,-44,14,2,,,,,,1602,-1520,-1525
,007930,FCA,P24-EPSS-04,ICB/EPSS6/MOH/GF-NFMIII/MRDT/24/23 (Refill from PO,-44,14,2,,,,,,1575,-1493,-1493
,007951,Cost and Freight,29763,EPSS6/DT/MOH-GF/Malaria/PH/02/23,-12,-15,7,,,,,,826,-744,-745
,007951,Cost and Freight,29763,EPSS6/DT/MOH-GF/Malaria/PH/02/23,-12,-15,7,,,,,,826,-744,-745
,007951,Cost and Freight,29807,EPSS6/DT/MOH-GF/Malaria/PH/02/23,-12,-15,7,,,,,,826,-744,-750
,007971,FCA,247015540,EPSS6/DT/MOH-GF/Facspresto/LR/03/23,-43,-754,,,,,,,1553,-1471,-1492
,UNICEF-45200995,Consignment,22/24,UNICEF-45200995,-794,,,,,,,,795,-713,-794
,008096,Cost and Freight,29836,EPSS6/DT/MOH-GF/Malaria/PH/02/23 (Refill from 0079,-10,-1,2,,,,,,784,-702,-703
,008121,FCA,19302,EPSS6/DT/GF5457/DBS KIT/LR/06/24 ,-5,1,13,,,,,,1505,-1423,-1423
Total,,,,,,,,,,,,,187582,-178234,
