PURCHASE_ORDER_NUMBER,PO_CREATED_DATE,SUPPLIER_NUMBER,SUPPLIER_NAME,PO_ITEM_COUNT,PO_VALUE_ETB,CONTRACT_AGREEMENT_RECEIVED_FROM_SUPPLIER_DATE,LC_CAD_OPENED_DATE,FIRST_INBOUND_DELIVERY_CREATED_DATE,LATEST_INBOUND_DELIVERY_CREATED_DATE,INBOUND_DELIVERY_COUNT,FIRST_PARTIAL_GRV_DATE,LATEST_GRV_DATE,FULL_DELIVERY_DATE,GRV_ROW_COUNT,DISTINCT_GRV_PO_ITEM_COUNT,SCHEDULE_LINE_COUNT,SCHEDULED_QUANTITY,RECEIVED_QUANTITY,REDUCED_OR_CANCELLED_QUANTITY,OPEN_QUANTITY,CURRENT_MILESTONE_STATUS,CONTRACT_TO_PO_DAYS,PO_TO_LC_CAD_OPEN_DAYS,LC_CAD_OPEN_TO_INBOUND_CREATED_DAYS,INBOUND_CREATED_TO_PARTIAL_GRV_DAYS,PARTIAL_GRV_TO_FULL_DELIVERY_DAYS,LEADTIME_DATA_QUALITY_STATUS,REPORTING_CURRENCY
4500004089,2025-04-08,20000764,Guangzhou Double One Latex Products,1,"153,067,583.20",2025-06-18,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],1,"263,055",0,0,"263,055",PO_CREATED,-71,[NULL],[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004088,2025-04-08,20000764,Guangzhou Double One Latex Products,1,"149,512,270.44",2025-06-18,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],1,"256,945",0,0,"256,945",PO_CREATED,-71,[NULL],[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500000810,2024-06-29,20000266,WomanCare Global Trading CIC,2,"131,707,191",[NULL],[NULL],2024-07-11,2024-07-25,3,2024-07-07,2024-07-07,2024-07-07,52,2,3,"10,500,000","6,999,800","6,999,800",0,FULLY_DELIVERED_WITH_GRV_DATE,[NULL],[NULL],[NULL],-4,0,INBOUND_TO_GRV_DATE_ISSUE,ETB
4500009664,2026-02-03,20000311,Abbott Gmbh,18,"121,170,024.59",[NULL],2025-11-20,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],19,"2,103",0,0,"2,103",AWAITING_SHIPMENT,[NULL],-75,[NULL],[NULL],[NULL],PO_TO_LC_DATE_ISSUE,ETB
4500004193,2025-04-11,20000260,Tenama International FZ-LLC,1,"92,479,959.25",2025-05-09,2025-12-26,2026-06-29,2026-06-29,4,2026-06-29,2026-06-29,2026-06-29,8,1,1,"17,142","17,141","17,141",0,FULLY_DELIVERED_WITH_GRV_DATE,-28,259,185,0,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500000801,2024-06-29,20000360,Guilin HBM health protection Inc,1,"90,904,829.49",[NULL],[NULL],2024-07-08,2024-07-15,6,2024-07-07,2024-07-07,2024-07-07,15,1,1,"286,809","146,614","680,232",0,FULLY_DELIVERED_WITH_GRV_DATE,[NULL],[NULL],[NULL],-1,0,INBOUND_TO_GRV_DATE_ISSUE,ETB
4500004075,2025-04-07,20000229,Hexagon Nutrition (International) P,1,"86,968,734.88",2025-05-09,2025-11-20,2026-03-05,2026-03-06,4,2026-03-05,2026-03-07,2026-03-07,15,1,1,"16,119","16,119","16,119",0,FULLY_DELIVERED_WITH_GRV_DATE,-32,227,105,0,2,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004560,2025-05-13,20000680,Shenzhen Lanmage Medical Techno┬áCo.,1,"83,261,336.13",2025-06-18,2025-08-12,2025-11-10,2025-11-10,1,2025-11-24,2025-11-24,2025-11-24,1,1,1,10,10,10,0,FULLY_DELIVERED_WITH_GRV_DATE,-36,91,90,14,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004192,2025-04-11,20000229,Hexagon Nutrition (International) P,1,"81,848,483.66",2025-05-09,2025-11-20,2026-03-18,2026-03-18,2,2026-03-19,2026-03-19,2026-03-19,10,1,1,"15,170","15,170","15,170",0,FULLY_DELIVERED_WITH_GRV_DATE,-28,223,118,1,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500001049,2024-07-17,20000400,Medicamen Biotech Limited,1,"68,380,007.83",[NULL],2024-04-24,2024-09-23,2024-09-23,1,2024-10-15,2024-10-15,2024-10-15,95,1,1,"380,045","380,045","380,045",0,FULLY_DELIVERED_WITH_GRV_DATE,[NULL],-84,152,22,0,PO_TO_LC_DATE_ISSUE,ETB
4500000987,2024-07-12,20000482,Cipla Pharmacuticals Ltd. -,1,"68,110,731.83",[NULL],[NULL],2024-07-13,2024-07-13,1,2024-07-07,2024-07-07,2024-07-07,14,1,1,"141,505","141,479","141,479",0,FULLY_DELIVERED_WITH_GRV_DATE,[NULL],[NULL],[NULL],-6,0,INBOUND_TO_GRV_DATE_ISSUE,ETB
4500009047,2025-12-26,20000442,Scott Edil Pharmacia Ltd,1,"65,288,539.63",2026-12-05,2026-01-23,2026-06-02,2026-06-02,1,2026-06-16,2026-06-16,2026-06-16,17,1,1,"874,008","874,008","874,008",0,FULLY_DELIVERED_WITH_GRV_DATE,-344,28,130,14,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500000787,2024-06-28,20000346,Elsmed Healthcare Solutions Ltd.,58,"59,371,818.75",[NULL],[NULL],2024-07-15,2024-07-19,7,2024-07-07,2024-07-07,2024-07-07,50,50,58,"13,266","12,244","13,266",0,FULLY_DELIVERED_WITH_GRV_DATE,[NULL],[NULL],[NULL],-8,0,INBOUND_TO_GRV_DATE_ISSUE,ETB
4500001074,2024-07-17,20000184,Thai Nippon Rubber Industry Co. Ltd,1,"57,484,664.16",[NULL],[NULL],2024-07-17,2024-07-18,4,2024-07-07,2024-07-07,2024-07-07,71,1,1,"33,000,000","32,903,524","65,903,524",0,FULLY_DELIVERED_WITH_GRV_DATE,[NULL],[NULL],[NULL],-10,0,INBOUND_TO_GRV_DATE_ISSUE,ETB
4500004657,2025-05-15,20000411,Naari Pte Limited,2,"57,165,167.16",2025-07-10,2025-09-17,2026-05-18,2026-05-18,1,2026-05-28,2026-05-28,[NULL],2,1,2,"1,908,654","184,470","184,470","1,539,714",PARTIALLY_RECEIVED_WITH_GRV_DATE,-56,125,243,10,[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500000911,2024-07-05,20000240,Nubenco enterprise INC,1,"55,158,397.55",[NULL],[NULL],2024-07-11,2024-11-29,10,2024-07-07,2024-11-30,2024-11-30,29,1,1,"352,731","352,726","456,223",0,FULLY_DELIVERED_WITH_GRV_DATE,[NULL],[NULL],[NULL],-4,146,INBOUND_TO_GRV_DATE_ISSUE,ETB
4500005391,2025-06-24,20000257,Spot Medical Equipment FZE,1,"53,751,601.51",2025-08-04,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],1,84,0,0,84,PO_CREATED,-41,[NULL],[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004619,2025-05-14,20000430,Relier Pharma Fze,1,"52,200,751.03",2025-06-04,2025-10-07,2026-01-14,2026-03-17,3,2026-02-17,2026-05-04,2026-05-04,11,1,1,"172,931","172,931","172,931",0,FULLY_DELIVERED_WITH_GRV_DATE,-21,146,99,34,76,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004166,2025-04-10,10002393,GM Triangle Trading Plc,1,"46,924,650",2025-04-15,[NULL],2025-10-23,2025-10-29,3,2025-10-25,2025-10-29,2025-10-29,7,1,1,"67,500","67,500","67,500",0,FULLY_DELIVERED_WITH_GRV_DATE,-5,[NULL],[NULL],2,4,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004531,2025-05-12,20000213,Adonai Trading FZE,3,"42,882,925.80",2025-07-17,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],13,"1,722",0,0,"1,722",PO_CREATED,-66,[NULL],[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500009407,2026-01-15,20000440,Sance Laboratories Pvt.Ltd,1,"39,879,456.14",2026-01-21,2026-02-14,2026-06-22,2026-06-22,1,2026-06-27,2026-06-27,2026-06-27,8,1,1,"396,045","395,239","395,239",0,FULLY_DELIVERED_WITH_GRV_DATE,-6,30,128,5,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004082,2025-04-07,20000260,Tenama International FZ-LLC,1,"39,854,675.72",2025-05-09,2025-12-26,2026-06-13,2026-06-13,4,2026-06-14,2026-06-15,2026-06-15,4,1,1,"7,340","7,340","7,340",0,FULLY_DELIVERED_WITH_GRV_DATE,-32,263,169,1,1,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500010002,2026-02-19,20000312,Abbott Rapid Dx International Ltd.,4,"38,552,568.53",[NULL],2025-08-26,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],5,958,0,0,958,AWAITING_SHIPMENT,[NULL],-177,[NULL],[NULL],[NULL],PO_TO_LC_DATE_ISSUE,ETB
4500000656,2024-06-19,20000431,Remedica,1,"38,118,830.62",[NULL],[NULL],2024-07-11,2024-07-11,1,2024-07-07,2024-07-07,2024-07-07,18,1,1,"280,462","280,462","280,462",0,FULLY_DELIVERED_WITH_GRV_DATE,[NULL],[NULL],[NULL],-4,0,INBOUND_TO_GRV_DATE_ISSUE,ETB
4500004558,2025-05-13,20000153,Shenzhen Comen Medical Instrumnt Co,1,"37,254,751.49",2025-06-18,2025-09-03,2025-11-14,2025-11-14,1,2025-11-17,2025-11-17,2025-11-17,1,1,1,18,18,18,0,FULLY_DELIVERED_WITH_GRV_DATE,-36,113,72,3,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500011488,2026-05-14,20000548,Beckman coulter,118,"35,908,448.83",2026-01-25,2025-12-01,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],118,"1,287",0,0,"1,287",AWAITING_SHIPMENT,109,-164,[NULL],[NULL],[NULL],PO_TO_LC_DATE_ISSUE,ETB
4500000875,2024-07-04,20000261,Tianjin Yorkool International,1,"34,237,240.97",[NULL],[NULL],2024-07-18,2024-07-18,2,2024-07-07,2024-07-07,2024-07-07,1,1,1,"380,053","380,053","760,106",0,FULLY_DELIVERED_WITH_GRV_DATE,[NULL],[NULL],[NULL],-11,0,INBOUND_TO_GRV_DATE_ISSUE,ETB
4500001243,2024-07-30,20000333,Bliss Gvs Pharma Ltd.,1,"31,239,383.92",2024-08-09,2025-01-22,2025-07-23,2025-07-23,1,2025-08-08,2025-08-08,2025-08-08,70,1,1,"103,506","103,037","103,037",0,FULLY_DELIVERED_WITH_GRV_DATE,-10,176,182,16,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004605,2025-05-14,20000249,RISE GLOBAL GMBH,1,"30,062,319.98",2025-06-04,2025-08-13,2026-01-23,2026-01-23,1,2026-01-27,2026-01-27,2026-01-27,13,1,1,"15,577","14,832","14,832",0,FULLY_DELIVERED_WITH_GRV_DATE,-21,91,163,4,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004658,2025-05-15,20000411,Naari Pte Limited,2,"29,638,272.12",2025-07-10,2025-09-17,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],2,"1,207,500",0,0,"1,207,500",AWAITING_SHIPMENT,-56,125,[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004536,2025-05-13,20000213,Adonai Trading FZE,3,"29,145,656.63",2025-07-17,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],16,"3,534",0,0,"3,534",PO_CREATED,-65,[NULL],[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004609,2025-05-14,20000264,United Pharma (K) Limited,1,"28,416,497.75",2025-06-11,2025-10-09,2025-11-18,2025-11-18,1,2025-11-27,2025-11-27,2025-11-27,1,1,1,"52,879","52,879","52,879",0,FULLY_DELIVERED_WITH_GRV_DATE,-28,148,40,9,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004526,2025-05-12,20000683,Samed FZE,1,"28,252,874.16",2025-07-08,2025-10-24,2026-02-13,2026-02-13,1,2026-02-16,2026-02-16,2026-02-16,1,1,2,84,42,42,0,FULLY_DELIVERED_WITH_GRV_DATE,-57,165,112,3,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004545,2025-05-16,20000248,REY INTERNATIONAL FZC,1,"28,138,301.58",2025-07-18,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],4,167,0,0,167,PO_CREATED,-63,[NULL],[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500007878,2025-10-28,20000439,Sakar Healthcare Limited,1,"26,835,739.68",2025-11-05,2025-12-12,2026-02-17,2026-02-17,1,2026-02-18,2026-02-18,2026-02-18,6,1,1,"87,204","87,204","87,204",0,FULLY_DELIVERED_WITH_GRV_DATE,-8,45,67,1,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500000985,2024-07-12,20000373,Immucor Medizinische Diagnostik  Gm,23,"26,638,017.49",[NULL],[NULL],2024-07-13,2024-07-13,1,2024-07-07,2024-07-07,[NULL],23,23,23,"3,512",221,221,"3,070",PARTIALLY_RECEIVED_WITH_GRV_DATE,[NULL],[NULL],[NULL],-6,[NULL],INBOUND_TO_GRV_DATE_ISSUE,ETB
4500004557,2025-05-13,20000683,Samed FZE,1,"26,482,237",2025-07-08,2025-10-25,2026-02-16,2026-02-16,1,2026-02-16,2026-02-16,2026-02-16,1,1,1,50,50,50,0,FULLY_DELIVERED_WITH_GRV_DATE,-56,165,114,0,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004632,2025-05-14,20000260,Tenama International FZ-LLC,1,"26,373,096.23",2025-06-11,2025-09-02,2026-03-24,2026-03-24,1,2026-04-20,2026-04-20,2026-04-20,45,1,1,"734,754","718,880","718,880",0,FULLY_DELIVERED_WITH_GRV_DATE,-28,111,203,27,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004620,2025-05-14,20000590,SEVATTO PHARMA,1,"26,120,930.29",2025-06-12,2025-12-09,2026-05-11,2026-05-11,1,2026-05-26,2026-05-26,2026-05-26,17,1,1,"66,746","66,731","66,731",0,FULLY_DELIVERED_WITH_GRV_DATE,-29,209,153,15,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004651,2025-05-15,20000784,Brassica Pharma Pvt Ltd,1,"23,703,603.17",2025-06-13,2025-09-06,2026-01-02,2026-01-02,1,2026-01-20,2026-01-20,2026-01-20,16,1,1,"1,406,254","1,406,254","1,406,254",0,FULLY_DELIVERED_WITH_GRV_DATE,-29,114,118,18,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004556,2025-05-13,20000249,RISE GLOBAL GMBH,17,"22,819,508.19",2025-07-21,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],26,"2,643",0,0,"2,643",PO_CREATED,-69,[NULL],[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500000815,2024-06-29,20000324,Avian International,7,"21,764,692.01",[NULL],[NULL],2024-07-13,2024-07-13,1,2024-07-07,2024-07-07,2024-07-07,7,7,7,"825,711","825,711","825,711",0,FULLY_DELIVERED_WITH_GRV_DATE,[NULL],[NULL],[NULL],-6,0,INBOUND_TO_GRV_DATE_ISSUE,ETB
4500000990,2024-07-13,20000445,Shiv dial sud and sons,4,"20,454,867.40",[NULL],[NULL],2024-07-15,2024-07-15,5,2024-07-07,2024-07-07,2024-07-07,11,4,4,"187,176","187,174","273,906",0,FULLY_DELIVERED_WITH_GRV_DATE,[NULL],[NULL],[NULL],-8,0,INBOUND_TO_GRV_DATE_ISSUE,ETB
4500009431,2026-01-16,20000342,Cspc Zhongnuo Pharmaceutical Co. Lt,1,"20,298,842.80",2026-01-21,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],1,"288,630",0,0,"288,630",PO_CREATED,-5,[NULL],[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500011655,2026-05-22,10000746,Sansheng Pharmaceutical Plc,1,"18,936,441",2026-06-06,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],1,"134,301",0,0,"134,301",PO_CREATED,-15,[NULL],[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500006041,2025-07-18,20000495,"Ambulanc (Shenzhen) Tech. Co., Ltd",1,"17,810,719.81",2025-07-21,2026-01-01,2026-03-25,2026-03-25,1,2026-03-27,2026-03-27,2026-03-27,1,1,1,45,45,45,0,FULLY_DELIVERED_WITH_GRV_DATE,-3,167,83,2,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004533,2025-05-12,20000790,"Heyer Medical Co., LTD",1,"17,458,327.76",2025-07-08,2025-11-10,2026-02-16,2026-02-17,2,2026-02-18,2026-02-18,2026-02-18,1,1,2,84,42,42,0,FULLY_DELIVERED_WITH_GRV_DATE,-57,182,98,2,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500005400,2025-06-25,20000213,Adonai Trading FZE,2,"17,375,777.31",2025-07-17,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],2,336,0,0,336,PO_CREATED,-22,[NULL],[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004649,2025-05-15,20000260,Tenama International FZ-LLC,1,"17,012,140.43",2025-06-10,2025-11-18,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],1,"8,379",0,0,"8,379",AWAITING_SHIPMENT,-26,187,[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004616,2025-05-14,20000249,RISE GLOBAL GMBH,1,"15,802,390.77",2025-06-03,2025-10-09,2026-02-18,2026-02-18,1,2026-02-25,2026-02-25,2026-02-25,23,1,1,"937,502","937,502","937,502",0,FULLY_DELIVERED_WITH_GRV_DATE,-20,148,132,7,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500001073,2024-07-17,20000443,Serum Institute Of India Pvt.Ltd,1,"15,585,151.38",[NULL],[NULL],2024-07-19,2024-07-19,1,2024-07-07,2024-07-07,2024-07-07,1,1,1,"7,608","7,608","7,608",0,FULLY_DELIVERED_WITH_GRV_DATE,[NULL],[NULL],[NULL],-12,0,INBOUND_TO_GRV_DATE_ISSUE,ETB
4500005369,2025-06-23,20000213,Adonai Trading FZE,2,"15,386,837.82",2025-07-17,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],2,408,0,0,408,PO_CREATED,-24,[NULL],[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004782,2025-05-22,20000383,Kay & Company,3,"15,020,665.89",2025-06-24,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],3,"139,525",0,0,"139,525",PO_CREATED,-33,[NULL],[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004542,2025-05-13,20000673,Nanjing Mindray Biomedical Electron,1,"14,252,660.79",2025-08-05,2026-01-16,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],1,20,0,0,20,AWAITING_SHIPMENT,-84,248,[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500000631,2024-06-18,20000358,Gst Corporation Ltd,4,"14,032,678.67",[NULL],[NULL],2024-07-12,2024-07-12,1,2024-07-07,2024-07-07,2024-07-07,5,4,4,"266,950","266,949","266,949",0,FULLY_DELIVERED_WITH_GRV_DATE,[NULL],[NULL],[NULL],-5,0,INBOUND_TO_GRV_DATE_ISSUE,ETB
4500011587,2026-05-19,20000012,Fenway Trading Co.Ltd,1,"12,869,030.89",2026-05-20,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],2,"28,392",0,0,"28,392",PO_CREATED,-1,[NULL],[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004608,2025-05-14,20000249,RISE GLOBAL GMBH,2,"12,620,860.44",2025-06-04,2025-08-13,2026-01-23,2026-01-23,1,2026-01-27,2026-01-27,2026-01-27,9,2,2,"8,573","8,573","8,573",0,FULLY_DELIVERED_WITH_GRV_DATE,-21,91,163,4,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004666,2025-05-15,20000590,SEVATTO PHARMA,1,"12,472,733.78",2025-06-12,2025-12-09,2026-04-03,2026-04-03,1,2026-04-06,2026-04-06,2026-04-06,1,1,1,"17,799","17,799","17,799",0,FULLY_DELIVERED_WITH_GRV_DATE,-28,208,115,3,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500009429,2026-01-16,20000400,Medicamen Biotech Limited,2,"12,257,350.38",2026-01-21,2026-02-17,2026-06-10,2026-06-10,1,2026-06-26,2026-06-26,2026-06-26,9,1,2,"280,395","213,948","213,948",0,FULLY_DELIVERED_WITH_GRV_DATE,-5,32,113,16,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004613,2025-05-14,20000260,Tenama International FZ-LLC,2,"11,740,011.64",2025-07-10,2025-12-26,2026-06-08,2026-06-08,1,2026-06-22,2026-06-22,2026-06-22,11,1,2,"31,386","27,811","27,811",0,FULLY_DELIVERED_WITH_GRV_DATE,-57,226,164,14,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004622,2025-05-14,20000337,Ciron Drugs And Pharmaceuticals Pvt,1,"11,619,268.99",2025-06-03,2025-10-09,2026-02-20,2026-02-20,1,2026-02-27,2026-02-27,2026-02-27,5,1,1,"286,783","286,783","286,783",0,FULLY_DELIVERED_WITH_GRV_DATE,-20,148,134,7,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500000973,2024-07-11,20000411,Naari Pte Limited,1,"11,460,260",[NULL],[NULL],2024-07-11,2024-07-11,1,2024-07-07,2024-07-07,2024-07-07,2,1,1,"100,000","97,200","97,200",0,FULLY_DELIVERED_WITH_GRV_DATE,[NULL],[NULL],[NULL],-4,0,INBOUND_TO_GRV_DATE_ISSUE,ETB
4500004057,2025-04-03,20000549,Afrovision pharmaceuticals,7,"11,043,986",2025-04-09,[NULL],2025-08-04,2025-08-05,2,2025-08-04,2025-08-06,2025-08-06,13,7,7,"17,880","17,880","17,880",0,FULLY_DELIVERED_WITH_GRV_DATE,-6,[NULL],[NULL],0,2,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004563,2025-05-13,20000671,Topcon Europe Medical BV,1,"10,875,781.45",2025-07-22,2025-11-20,2026-01-02,2026-01-02,1,2026-01-02,2026-01-02,[NULL],1,1,4,92,14,14,64,PARTIALLY_RECEIVED_WITH_GRV_DATE,-70,191,43,0,[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
