MANDT,EBELN,EBELP,ETENR,PO_DOCUMENT_DATE,PO_TYPE,SUPPLIER_NUMBER,SUPPLIER_NAME,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_TYPE_DESCRIPTION,PLANT,ORDER_UNIT,ITEM_NET_VALUE_ETB,HEADER_DELETION_INDICATOR,ITEM_DELETION_INDICATOR,RETURN_ITEM_INDICATOR,DELIVERY_COMPLETED_INDICATOR,FINAL_INVOICE_INDICATOR,SCHEDULED_DELIVERY_DATE,SCHEDULED_QUANTITY,RECEIVED_QUANTITY,REDUCED_QUANTITY,OPEN_SCHEDULE_QUANTITY,OPEN_OVERDUE_STATUS,OPEN_SCHEDULE_VALUE_ETB
100,4500000581,10,1,2024-06-08,ZHP1,10000742,Quality Medical FZC,404-VENM-BATT,Mechanical ventilator S.P - Battery,ZMD,Medical Device,HO01,EA,"844,574.02",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-01,6,0,0,6,OPEN_OVERDUE,"844,574.02"
100,4500000581,30,1,2024-06-08,ZHP1,10000742,Quality Medical FZC,404-VENM-BATT,Mechanical ventilator S.P - Battery,ZMD,Medical Device,HO01,EA,"1,710,918.89",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-01,9,0,0,9,OPEN_OVERDUE,"1,710,918.89"
100,4500000581,50,1,2024-06-08,ZHP1,10000742,Quality Medical FZC,404-VENM-PSBO,Mechanical vent S.P - Power supply board,ZMD,Medical Device,HO01,EA,"45,144.25",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-01,1,0,0,1,OPEN_OVERDUE,"45,144.25"
100,4500000581,60,1,2024-06-08,ZHP1,10000742,Quality Medical FZC,404-XRRD-EXSW,C Arm S.P - Exposure Switch. - 718131,ZMD,Medical Device,HO01,EA,"332,415.67",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-01,1,0,0,1,OPEN_OVERDUE,"332,415.67"
100,4500000581,80,1,2024-06-08,ZHP1,10000742,Quality Medical FZC,404-VENM-PACI,Mechanical vent S.P - Patient Circuit,ZMD,Medical Device,HO01,EA,"782,205.47",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-01,7,0,0,7,OPEN_OVERDUE,"782,205.47"
100,4500000581,100,1,2024-06-08,ZHP1,10000742,Quality Medical FZC,404-VENM-PSBO,Mechanical vent S.P - Power supply board,ZMD,Medical Device,HO01,EA,"2,685,452.45",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-01,11,0,0,11,OPEN_OVERDUE,"2,685,452.45"
100,4500000143,10,1,2024-06-08,ZRDI,20000315,Aculife Healthcare Pvt. Ltd.,102-ATRO-0301,Atropine Sulphate 1mg/ml Amp-Inj of 100,ZME,Medicine,HO01,PAK,"3,233,302.88",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-01,"945,596",0,0,"945,596",OPEN_OVERDUE,"3,233,302.88"
100,4500000635,10,1,2024-06-18,ZHP1,20000424,Premier Medical Corporation Pvt.Ltd,204-HVFI-0302,Second Assay-First Resp HIV1/2 V.2 of 30,ZLC,Laboratory commodity,HO01,KIT,"214,579.18",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-05,167,0,0,167,OPEN_OVERDUE,"214,579.18"
100,4500000672,10,1,2024-06-19,ZHP1,20000272,BD International,204-PRST-0601,Presto - Cartridge with Collection of100,ZLC,Laboratory commodity,HO01,KIT,"26,420,978.99",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-06,502,0,0,502,OPEN_OVERDUE,"26,420,978.99"
100,4500000706,10,1,2024-06-22,ZRDI,20000335,Brawn Laboratories Ltd.,104-CLOT-1601,Clotrimazole - 1% - Cream of 20gm,ZME,Medicine,HO01,TU,"3,595,975.24",[NULL],[NULL],[NULL],X,[NULL],2024-11-09,"370,407","370,407","370,407",0,DELIVERY_COMPLETED,0
100,4500000084,20,1,2024-06-13,ZHP1,20000369,Hetro Labs Ltd.,104-LORI-0101,Lopinavir+Ritonavir-125mg-Tablet of 120,ZME,Medicine,HO01,TIN,"4,061,990.70",[NULL],[NULL],[NULL],[NULL],[NULL],2024-10-03,"6,198",0,0,"6,198",OPEN_OVERDUE,"4,061,990.70"
100,4500000084,10,1,2024-06-13,ZHP1,20000369,Hetro Labs Ltd.,104-LAET-0101,3TC+EFV+TDF-(300+400+300mg)-Tab of 30,ZME,Medicine,HO01,PAK,"15,046,930.67",[NULL],[NULL],[NULL],[NULL],[NULL],2024-10-03,"67,184",0,0,"67,184",OPEN_OVERDUE,"15,046,930.67"
100,4500000632,10,1,2024-06-18,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,104-ACYC-0201,Acyclovir - 200mg ΓÇô Capsule of 10x10,ZME,Medicine,HO01,PAK,"1,840,720",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-05,"9,688",0,0,"9,688",OPEN_OVERDUE,"1,840,720"
100,4500000632,30,1,2024-06-18,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,105-PARA-0102-01,Paracetamol - 500mg - Tablet of 10x10,ZME,Medicine,HO01,PAK,"79,769,950",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-05,"469,235",0,0,"469,235",OPEN_OVERDUE,"79,769,950"
100,4500000632,20,1,2024-06-18,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,101-METO-0701,Metoclopramide-5mg/5ml -Syrup of 60ml,ZME,Medicine,HO01,BOT,"677,820",[NULL],[NULL],[NULL],X,[NULL],2024-11-05,"22,594","22,594","22,594",0,DELIVERY_COMPLETED,0
100,4500000019,10,1,2024-06-05,ZRDI,20000394,Leben Laboratories Private Limited,119-SULP-1501,Sulphur-10%-Ointment of 50gm,ZME,Medicine,HO01,TU,"3,817,611.33",[NULL],[NULL],[NULL],[NULL],[NULL],2024-10-06,"186,080",0,0,"186,080",OPEN_OVERDUE,"3,817,611.33"
100,4500000019,20,1,2024-06-05,ZRDI,20000394,Leben Laboratories Private Limited,119-WHIT-1501,White Petrolatum-Ointment  of 50 gm,ZME,Medicine,HO01,TU,"2,132,460.49",[NULL],[NULL],[NULL],[NULL],[NULL],2024-10-06,"95,946",0,0,"95,946",OPEN_OVERDUE,"2,132,460.49"
100,4500000101,10,1,2024-06-13,ZRDI,20000358,Gst Corporation Ltd,302-SPNE-0401,Spinal Needle 8cm-22G,ZMS,Medical Supply,HO01,EA,"156,457.05",[NULL],[NULL],[NULL],[NULL],[NULL],2024-08-15,"13,727",0,0,"13,727",OPEN_OVERDUE,"156,457.05"
100,4500000110,10,1,2024-06-13,ZRDI,20000322,Astrrazeneca Pharmaceuticals,115-GOSE-0402,Goserelin Acetat-10.8mg in PFS-Inj-Depot,ZME,Medicine,HO01,ST,"9,068,775.91",[NULL],[NULL],[NULL],[NULL],[NULL],2024-08-01,"1,269",0,0,"1,269",OPEN_OVERDUE,"9,068,775.91"
100,4500000112,10,1,2024-06-14,ZRDI,20000337,Ciron Drugs And Pharmaceuticals Pvt,105-FLUP-0401,Fluphenazin-25mg/ml-Inj(Depot) of 10,ZME,Medicine,HO01,PAK,"714,639.55",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-01,"3,135",0,0,"3,135",OPEN_OVERDUE,"714,639.55"
100,4500000558,10,1,2024-06-08,ZRDL,10000746,Sansheng Pharmaceutical Plc,102-HYCT-0101-01,Hydrochlorothiazide-25mg Tablet of 10x10,ZME,Medicine,HO01,PAK,"4,798,800",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-01,"120,000","75,840","75,840",0,FULLY_RECEIVED_OR_REDUCED,0
100,4500000558,20,1,2024-06-08,ZRDL,10000746,Sansheng Pharmaceutical Plc,110-PRTU-0103-03,Propylthiouracil-100mg-Tablet of 100,ZME,Medicine,HO01,TIN,"26,600,000",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-01,"70,000","44,757","44,757",0,FULLY_RECEIVED_OR_REDUCED,0
100,4500000116,10,1,2024-06-14,ZRDI,20000220,Cadila Health care,103-SALB-2401,Salbutamol 0.1mg/dose Oral Inhal of200md,ZME,Medicine,HO01,BOT,"18,921,561",[NULL],[NULL],[NULL],[NULL],[NULL],2024-09-15,"228,981",0,0,"228,981",OPEN_OVERDUE,"18,921,561"
100,4500000711,20,1,2024-06-24,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,102-FRUS-0102-02,Frusemide - 40mg - Tablet of 15x10,ZME,Medicine,HO01,PAK,"7,077,120",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-11,"29,488",0,0,"29,488",OPEN_OVERDUE,"7,077,120"
100,4500000711,40,1,2024-06-24,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,104-SUTR-0101-01,Sulpha+Trimeth-(400mg+80mg)-Tab of 10x10,ZME,Medicine,HO01,PAK,"1,791,040",[NULL],[NULL],[NULL],X,[NULL],2024-11-11,"15,440","15,440","15,440",0,DELIVERY_COMPLETED,0
100,4500000711,10,1,2024-06-24,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,109-CHLO-0701,Chlorpheniramine-2mg/5ml-Syrup of 100ml,ZME,Medicine,HO01,BOT,"2,766,311",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-11,"67,471",0,0,"67,471",OPEN_OVERDUE,"2,766,311"
100,4500000711,30,1,2024-06-24,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,104-NORF-0101,Norfloxacin - 400mg ΓÇô Tablet of 10x10,ZME,Medicine,HO01,PAK,"11,839,200",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-11,"59,196","52,026","52,026",0,FULLY_RECEIVED_OR_REDUCED,0
100,4500000737,110,1,2024-06-26,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,101-METO-0702,Metoclopramide -5mg/5ml- Syrup of 100ml,ZME,Medicine,HO01,BOT,"1,927,240",[NULL],[NULL],[NULL],X,[NULL],2024-12-25,"55,064","55,064","55,064",0,DELIVERY_COMPLETED,0
100,4500000737,130,1,2024-06-26,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,103-SALB-0701,Salbutamol (Albut)2mg/5ml-Syrup of 100ml,ZME,Medicine,HO01,BOT,"3,117,065",[NULL],[NULL],[NULL],X,[NULL],2024-12-25,"89,059","89,059","89,059",0,DELIVERY_COMPLETED,0
100,4500000737,10,1,2024-06-26,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,102-ATOR-0102-01,Atorvastatin - 20mg ΓÇô Tablet of 10x10,ZME,Medicine,HO01,PAK,"5,903,947.35",[NULL],[NULL],[NULL],X,[NULL],2024-12-25,"38,535","38,535","38,535",0,DELIVERY_COMPLETED,0
100,4500000737,30,1,2024-06-26,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,105-BENZ-0101-01,Benzhexol- 2mg - Tablet of 10x10,ZME,Medicine,HO01,PAK,"961,200",[NULL],[NULL],[NULL],X,[NULL],2024-12-25,"9,612","9,612","9,612",0,DELIVERY_COMPLETED,0
100,4500000737,50,1,2024-06-26,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,101-CIME-0301-01,Cimetidine-200mg/ml in 2ml -Inj of 10,ZME,Medicine,HO01,PAK,"29,042,040",[NULL],[NULL],[NULL],[NULL],[NULL],2024-12-25,"484,034",0,0,"484,034",OPEN_OVERDUE,"29,042,040"
100,4500000737,70,1,2024-06-26,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,108-FOLI-0102,Folic Acid - 5mg ΓÇô Tablet of 10x10,ZME,Medicine,HO01,PAK,"2,952,190.08",[NULL],[NULL],[NULL],X,[NULL],2024-12-25,"32,704","32,704","32,704",0,DELIVERY_COMPLETED,0
100,4500000737,90,1,2024-06-26,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,104-GENT-0302-01,Gentamycin-40mg/ml in 2ml-Inj of 10,ZME,Medicine,HO01,PAK,"3,496,645.62",[NULL],[NULL],[NULL],X,[NULL],2024-12-25,"87,438","87,438","87,438",0,DELIVERY_COMPLETED,0
100,4500000737,20,1,2024-06-26,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,104-AZIT-0102-02,Azithromycin-500mg-Tablet of 10x3,ZME,Medicine,HO01,PAK,"51,428,785.65",[NULL],[NULL],[NULL],X,[NULL],2024-12-25,"171,435","171,435","171,435",0,DELIVERY_COMPLETED,0
100,4500000737,40,1,2024-06-26,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,105-BENZ-0102-01,Benzhexol - 5mg - Tablet of 10x10,ZME,Medicine,HO01,PAK,"1,354,495.80",[NULL],[NULL],[NULL],X,[NULL],2024-12-25,"10,420","10,420","10,420",0,DELIVERY_COMPLETED,0
100,4500000737,60,1,2024-06-26,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,112-FERR-0102,Ferrous Sulfate-325mg-Tablet of 10x10,ZME,Medicine,HO01,PAK,"11,068,800",[NULL],[NULL],[NULL],X,[NULL],2024-12-25,"184,480","184,480","184,480",0,DELIVERY_COMPLETED,0
100,4500000737,80,1,2024-06-26,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,102-FRUS-0301-01,Frusemide-10mg/ml in 2ml Amp-Inj of 10,ZME,Medicine,HO01,PAK,"10,091,520",[NULL],[NULL],[NULL],X,[NULL],2024-12-25,"168,192","168,192","168,192",0,DELIVERY_COMPLETED,0
100,4500000737,100,1,2024-06-26,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,101-HYOS-0101,Hyoscine Butylbromide-10mg-Tab of 10x10,ZME,Medicine,HO01,PAK,"10,211,400",[NULL],[NULL],[NULL],X,[NULL],2024-12-25,"51,057","51,057","51,057",0,DELIVERY_COMPLETED,0
100,4500000737,120,1,2024-06-26,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,105-PHEN-0104-04,Phenobarbitone-100mg-Tablet of 10x10,ZME,Medicine,HO01,PAK,"41,374,872",[NULL],[NULL],[NULL],X,[NULL],2024-12-25,"347,688","347,688","347,688",0,DELIVERY_COMPLETED,0
100,4500000744,10,1,2024-06-27,ZRDI,20000317,Akriti Pharmaceuticals Pvt.Ltd,104-CEFR-0303,Ceftriaxone - 1g Injn with 10ml Diluent,ZME,Medicine,HO01,PAK,"21,666,118",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-14,"2,000,000",0,0,"2,000,000",OPEN_OVERDUE,"21,666,118"
100,4500000775,1,1,2024-06-28,ZRDI,20000244,"Qingdao Haier Biomedical Co., Ltd",401-REGP-0103,Refrigerator - General Purpose 390L,ZMD,Medical Device,HO01,EA,"664,351.60",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-15,12,0,0,12,OPEN_OVERDUE,"664,351.60"
100,4500000624,20,1,2024-06-18,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,102-ENAL-0102-02,Enalapril Maleate-5mg -Tablet of 15x10,ZME,Medicine,HO01,PAK,"4,508,416.50",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-05,"61,339","15,383","15,383","30,573",OPEN_OVERDUE,"2,247,115.50"
100,4500000624,40,1,2024-06-18,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,105-PHEN-0104-01,Phenobarbitone- 100mg - Tablet of 15x10,ZME,Medicine,HO01,PAK,"8,072,400",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-05,"38,440",0,0,"38,440",OPEN_OVERDUE,"8,072,400"
100,4500000624,10,1,2024-06-18,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,104-CIPR-0102,Ciproflxacin - 500mg ΓÇô Tablet of 10x10,ZME,Medicine,HO01,PAK,"70,978,140",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-05,"262,882",0,0,"262,882",OPEN_OVERDUE,"70,978,140"
100,4500000624,30,1,2024-06-18,ZRDL,10000745,Humanwell Pharmaceutical Ethiopia P,110-METF-0101-02,Metformin - 500mg - Tablet of 10x10,ZME,Medicine,HO01,PAK,"19,077,995",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-05,"200,821","197,821","197,821",0,FULLY_RECEIVED_OR_REDUCED,0
100,4500000047,10,1,2024-06-10,ZRDI,20000416,Neon Laboratory Ltd.,106-THIO-0301,Thiopental Sodium-0.5g-pwder for Inj,ZME,Medicine,HO01,VI,"4,837,716.54",[NULL],[NULL],[NULL],X,[NULL],2024-10-28,"188,642","188,642","188,642",0,DELIVERY_COMPLETED,0
100,4500000771,10,1,2024-06-28,ZRDI,20000442,Scott Edil Pharmacia Ltd,105-MORP-0105,Morphine Sulfate - 30mg-Tablet of 10x5,ZME,Medicine,HO01,PAK,"7,132,317.28",[NULL],[NULL],[NULL],[NULL],[NULL],2024-10-26,"17,896",0,0,"17,896",OPEN_OVERDUE,"7,132,317.28"
100,4500000790,8,1,2024-06-29,ZRDI,20000335,Brawn Laboratories Ltd.,119-BETV-1601,Betamethasone Valerat-0.1%-Cream of 20gm,ZME,Medicine,HO01,TU,"1,117,937.48",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-16,"72,620",0,0,"72,620",OPEN_OVERDUE,"1,117,937.48"
100,4500000610,10,1,2024-06-17,ZHP1,20000424,Premier Medical Corporation Pvt.Ltd,204-HVFI-0302,Second Assay-First Resp HIV1/2 V.2 of 30,ZLC,Laboratory commodity,HO01,KIT,"214,579.18",[NULL],[NULL],[NULL],X,[NULL],2024-06-21,167,167,167,0,DELIVERY_COMPLETED,0
100,4500000109,1,1,2024-06-13,ZHP1,20000246,RAPIGEN INC.,204-MRDT-0401,Malaria RDT -PF&PV Test Casett of 25test,ZLC,Laboratory commodity,HO01,PAK,"103,267,979.76",[NULL],[NULL],[NULL],X,[NULL],2024-10-31,"195,900","195,900","195,900",0,DELIVERY_COMPLETED,0
100,4500000666,10,1,2024-06-19,ZHP1,20000410,Mylan Laboratories Ltd.,104-LADT-0101,3TC+DTG+TDF (300+50+300)mg Tablet-TLD 30,ZME,Medicine,HO01,PAK,"24,647,203.27",[NULL],[NULL],[NULL],[NULL],[NULL],2024-06-22,"120,558",0,"120,558",0,FULLY_RECEIVED_OR_REDUCED,0
100,4500000725,10,1,2024-06-26,ZRDI,20000315,Aculife Healthcare Pvt. Ltd.,102-ATRO-0301,Atropine Sulphate 1mg/ml Amp-Inj of 100,ZME,Medicine,HO01,PAK,"3,240,003.37",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-13,"945,596","15,356","945,596",0,FULLY_RECEIVED_OR_REDUCED,0
100,4500000645,10,1,2024-06-19,ZHP1,20000316,Ajanta Pharma Ltd.,104-ARLU-0102-02,Artemether+Lumefan-140mg (6x2)-DT of 30,ZME,Medicine,HO01,PAK,"3,509,830.05",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-06,"5,537","5,482","5,482",0,FULLY_RECEIVED_OR_REDUCED,0
100,4500000645,20,1,2024-06-19,ZHP1,20000316,Ajanta Pharma Ltd.,104-ARLU-0104-02,Artemether+Lumefan-140mg (6x4)-Tab of 30,ZME,Medicine,HO01,PAK,"25,288,454.36",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-06,"28,027","28,020","28,020",0,FULLY_RECEIVED_OR_REDUCED,0
100,4500000913,10,1,2024-07-05,ZRDI,20000319,Apothecaries Sundries Manufacturing,306-CONE-0602,Neck Collar - Hard Medium size,ZMS,Medical Supply,HO01,EA,"388,172.76",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-22,"3,849","3,834","3,834",0,FULLY_RECEIVED_OR_REDUCED,0
100,4500000614,10,1,2024-06-17,ZHP1,20000398,Macleods Pharmaceuticals Ltd.,104-ARLU-0102-02,Artemether+Lumefan-140mg (6x2)-DT of 30,ZME,Medicine,HO01,PAK,"3,549,764.90",[NULL],[NULL],[NULL],X,[NULL],2024-11-07,"5,600","5,600","11,200",0,DELIVERY_COMPLETED,0
100,4500000614,20,1,2024-06-17,ZHP1,20000398,Macleods Pharmaceuticals Ltd.,104-ARLU-0104-02,Artemether+Lumefan-140mg (6x4)-Tab of 30,ZME,Medicine,HO01,PAK,"14,472,715.88",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-07,"16,040",0,"16,055",0,FULLY_RECEIVED_OR_REDUCED,0
100,4500000883,20,1,2024-07-04,ZRDI,20000369,Hetro Labs Ltd.,115-RITU-0302,Rituximab - 100mg/10ml ΓÇô Injection,ZME,Medicine,HO01,VI,"4,447,255.80",[NULL],[NULL],[NULL],[NULL],[NULL],2024-08-30,"1,500",0,0,"1,500",OPEN_OVERDUE,"4,447,255.80"
100,4500000883,40,1,2024-07-04,ZRDI,20000369,Hetro Labs Ltd.,115-ZOLE-0301,Zoledronic acid-4mg/5ml in 5ml Amp-Inj,ZME,Medicine,HO01,AM,"62,146.98",[NULL],[NULL],[NULL],[NULL],[NULL],2024-08-30,367,0,0,367,OPEN_OVERDUE,"62,146.98"
100,4500000883,10,1,2024-07-04,ZRDI,20000369,Hetro Labs Ltd.,115-CYPH-0303,Cyclophosphamide-1gm in Vial-Inj,ZME,Medicine,HO01,VI,"1,568,085.29",[NULL],[NULL],[NULL],[NULL],[NULL],2024-08-30,"3,667",0,0,"3,667",OPEN_OVERDUE,"1,568,085.29"
100,4500000883,30,1,2024-07-04,ZRDI,20000369,Hetro Labs Ltd.,115-RITU-0303,Rituximab - 500mg/50ml ΓÇô Injection,ZME,Medicine,HO01,VI,"19,291,511.47",[NULL],[NULL],[NULL],[NULL],[NULL],2024-08-30,"1,596",0,0,"1,596",OPEN_OVERDUE,"19,291,511.47"
100,4500000796,10,1,2024-06-29,ZHP1,20000464,Unique Pharmaceutical Laboratories,104-SUTR-0601,Sulpha+ Trimeth 240mg/5ml Susp of 100ml,ZME,Medicine,HO01,BOT,"1,152,398.01",[NULL],[NULL],[NULL],X,[NULL],2024-06-29,"72,185","72,185","72,185",0,DELIVERY_COMPLETED,0
100,4500000609,20,1,2024-06-17,ZHP1,20000369,Hetro Labs Ltd.,104-LORI-0101,Lopinavir+Ritonavir-125mg-Tablet of 120,ZME,Medicine,HO01,TIN,"4,070,408.51",[NULL],[NULL],[NULL],[NULL],[NULL],2024-10-03,"6,198","6,188","6,188",0,FULLY_RECEIVED_OR_REDUCED,0
100,4500000609,10,1,2024-06-17,ZHP1,20000369,Hetro Labs Ltd.,104-LAET-0101,3TC+EFV+TDF-(300+400+300mg)-Tab of 30,ZME,Medicine,HO01,PAK,"15,078,112.98",[NULL],[NULL],[NULL],[NULL],[NULL],2024-06-21,"67,184","67,169","67,184",0,FULLY_RECEIVED_OR_REDUCED,0
100,4500000956,10,1,2024-07-11,ZRDI,20000218,BOSTON MEDICAL FZE.,403-CTSM-0102,CT Scan Machine - 64 Slice,ZMD,Medical Device,HO01,EA,"29,223,663",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-28,1,0,0,1,OPEN_OVERDUE,"29,223,663"
100,4500000973,10,1,2024-07-11,ZHP1,20000411,Naari Pte Limited,111-MIMI-0101,Mife+Miso -200mg +200mcg-Tablet of 5,ZME,Medicine,HO01,KIT,"11,460,260",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-28,"100,000","97,200","97,200",0,FULLY_RECEIVED_OR_REDUCED,0
100,4500000976,10,1,2024-07-11,ZHP1,20000383,Kay & Company,208-PAST-1607,Plastic Droper NonSterilG.upto5ml of 100,ZLC,Laboratory commodity,HO01,PAK,"4,235,712.10",[NULL],[NULL],[NULL],X,[NULL],2024-07-11,"12,000","12,000","12,000",0,DELIVERY_COMPLETED,0
